Common Name (Scientific Name),2000,2001,2002,2003,2004,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024,2024 (Merlin),% yrs.,no./yr,,,,Updated 9/1/2022,,,,,,,,,,,,,,,,,,,,
Alder Flycatcher (Empidonax alnorum),0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,
American Crow (Corvus brachyrhynchos) ,36,12,8,7,6,7,8,7,16,12,19,11,26,17,11,18,9,8,19,15,12,p,105,14.2,,,,Formula (for 2022 and beyond):,,,,,,,,,,,,,,,,,,,,
American Goldfinch (Carduelis tristis) ,20,10,9,10,15,6,p,8,10,17,10,20,3,9,14,11,6,8,13,10,10,p,105,10.9,,,,"IF('2022(2022Update)'!Y2<>0,'2022(2022Update)'!Y2,'2022(2022Update)'!V2)",,,,,,,,,,,,,,,,,,,,
American Kestrel (Falco sparverius),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,10,0.1,,,,Tranlsation:,,"If ""total"" (Y) is not equal to 0, enter number from ""total"" column",,,,,,,,,,,,,,,,,,
American Redstart (Setophaga ruticilla) ,3,5,5,4,8,8,5,10,6,14,12,6,4,2,2,2,2,11,5,6,4,p,105,6.2,,,,,,"If ""total"" is equal to 0, enter result from ""present"" (V) column",,,,,,,,,,,,,,,,,,
American Robin (Turdus migratorius) ,2,2,11,p,6,6,3,3,18,11,4,4,17,15,18,5,8,5,6,9,7,p,105,8,,,,,,"If the ""present"" column has no data entered, 0 is entered automatically",,,,,,,,,,,,,,,,,,
American White Pelican (Pelecanus erythrorhynchos),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,p,,10,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Bald Eagle (Haliaeetus leucocephalus),0,0,0,0,0,0,p,p,0,1,1,1,0,6,2,1,0,1,0,2,p,,55,0.8,,,,Total number of species is lower in 2020 because there were only 5 participants (due to the COVID-19 pandemic) and no full checklist was kept,,,,,,,,,,,,,,,,,,,,
Baltimore oriole (Icterus galbula) ,1,p,5,p,1,3,6,3,6,6,p,11,4,6,3,p,3,5,10,12,11,p,105,4.8,,,,The Evening Grosbeak recorded in 2021 may have been written down in error,,,,,,,,,,,,,,,,,,,,
Barn Swallow (Hirundo rustica) ,3,p,1,1,1,0,p,1,p,2,p,1,0,0,3,0,2,2,0,1,p,,80,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Bay-breasted Warbler (Dendroica castanea),0,0,0,p,1,0,p,0,p,0,0,0,0,0,0,0,0,0,0,0,0,,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Belted Kingfisher (Ceryle alcyon) ,0,0,p,0,p,0,1,0,0,p,0,1,0,0,0,0,0,0,0,p,1,p,35,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Black Tern (Chlidonias niger),0,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-white Warbler (Mniotilta varia),0,0,1,0,p,p,0,p,1,0,p,1,0,0,2,1,0,0,p,1,p,,60,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Blackburnian Warbler (Dendroica fusca) ,0,0,0,1,2,0,p,0,0,p,p,0,0,p,0,p,0,0,2,0,0,,40,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Black-capped Chickadee (Parus atricapillus) ,7,4,4,3,12,3,5,10,9,6,9,22,6,7,10,15,18,p,6,15,5,p,105,8.8,,,,,,,,,,,,,,,,,,,,,,,,
Blackpoll Warbler (Dendroica striata) ,0,p,p,1,4,p,p,p,p,p,0,0,0,0,0,0,0,0,p,0,0,,50,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Black-throated Green Warbler (Dendroica virens) ,0,p,2,0,0,3,0,0,p,0,p,p,0,0,0,0,0,0,0,0,0,,30,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jay (Cyanocitta cristata) ,2,3,5,3,p,4,4,13,5,10,15,13,6,12,6,7,9,5,17,6,15,p,105,8,,,,,,,,,,,,,,,,,,,,,,,,
Blue-gray Gnatcatcher (Polioptila caerula) ,8,4,1,5,6,0,p,5,6,5,4,1,p,4,5,2,0,0,3,2,5,p,90,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Blue-headed [solitary] Vireo (Vireo solitarius) ,0,0,p,p,0,2,p,p,0,0,0,p,0,0,1,0,0,0,1,0,0,,40,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Blue-winged Teal (Anas discors),0,0,p,0,0,0,0,0,0,p,1,0,0,0,0,0,0,0,0,0,0,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Blue-winged Warbler (Vermivora pinus),0,0,0,0,0,1,1,4,1,5,3,2,0,1,2,0,0,4,0,1,p,,60,1.2,,,,,,,,,,,,,,,,,,,,,,,,
Bobolink (Dolichonyx oryzivorus),0,0,0,0,0,p,0,p,0,0,0,8,0,0,0,0,0,0,0,0,0,p,15,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Broad-winged Hawk (Buteo playpterus),p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p,0,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Brown Thrasher (Toxostoma rufum),0,0,1,0,0,1,1,0,0,1,3,p,p,1,1,0,0,0,0,0,0,,45,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird (Molothrus ater) ,7,1,7,4,8,4,2,10,12,4,10,6,2,8,8,11,4,18,8,4,13,p,105,7.5,,,,,,,,,,,,,,,,,,,,,,,,
Canada Goose (Branta canadensis),2,1,p,3,p,13,4,1,5,13,10,7,11,5,20,16,12,4,9,8,18,p,105,8.1,,,,,,,,,,,,,,,,,,,,,,,,
Canada Warbler (Wilsonia canadensis) ,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Cape May Warbler (Dendroica tigrina),0,0,0,0,p,0,0,0,0,0,p,p,0,0,0,0,0,0,0,0,0,,15,0,,,,,,,,,,,,,,,,,,,,,,,,
Caspian tern (Hydroprogne caspia = Sterna caspia),0,0,0,0,0,0,0,0,p,0,0,p,0,0,0,0,0,0,0,0,0,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Waxwing (Bombycilla cedrorum) ,9,2,0,0,p,p,p,0,0,p,0,0,0,0,p,2,0,1,p,p,0,,55,0.7,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-sided Warbler (Dendroica pensylvanica) ,0,0,p,2,1,1,p,0,p,1,p,p,0,0,0,p,0,0,p,2,p,,65,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Chimney Swift (Chaetura pelagica),1,p,5,0,0,0,0,p,0,2,2,p,0,0,p,0,0,0,0,p,0,,45,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Chipping Sparrow (Spizella passerina) ,3,p,1,p,p,1,p,p,1,1,0,p,0,p,p,p,0,1,0,0,1,p,80,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Clay-colored Sparrow (Spizella pallida),6,1,1,p,3,5,p,6,5,1,8,3,2,3,4,6,8,6,6,8,4,p,105,4.3,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Swallow (Petrochelidon pyrrhonota),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Common Grackle (Quiscalus quiscula) ,1,1,3,1,0,4,p,p,0,1,4,2,0,p,0,0,4,p,0,p,0,,70,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Common Yellowthroat (Geothlypis trichas) ,22,24,14,12,25,11,8,16,12,20,14,13,22,15,17,9,14,17,14,10,12,p,105,16.1,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut Warbler (Oporornis agilis),0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Cooper's Hawk (Accipiter cooperii),0,0,0,0,0,0,0,0,0,0,p,0,0,0,0,0,0,0,p,0,0,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
Downy Woodpecker (Picoides pubescens),p,p,5,3,p,3,p,p,1,1,3,2,1,1,2,1,1,2,p,4,1,p,105,1.6,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Bluebird (Sialia sialis) ,1,4,1,2,2,p,0,2,1,0,2,p,1,0,0,p,1,0,p,0,1,,75,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kingbird (Tyrannus tyrannus) ,p,0,p,p,p,p,p,p,p,p,2,p,p,0,p,2,0,3,1,2,0,,85,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Meadowlark (Sturnella magna),0,0,0,0,0,0,1,0,2,p,3,1,2,p,0,1,0,5,2,5,3,p,60,1.2,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Phoebe (Sayornis phoebe),0,0,0,0,0,0,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Towhee (Pipilo erythrophthalmus),0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,p,1,0,,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Wood-pewee (Contopus virens),10,7,0,3,3,0,0,0,0,p,1,0,0,0,1,0,0,p,1,0,1,p,50,1.4,,,,,,,,,,,,,,,,,,,,,,,,
European Starling (Sturnus vulgaris) ,p,p,p,1,0,0,0,0,p,p,p,2,0,0,p,0,0,0,1,p,0,,55,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Evening Grosbeak (Coccothraustes vespertinus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,0,0,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Field Sparrow (Spizella pusilla) ,5,3,1,3,2,1,2,3,2,5,13,2,0,4,6,5,20,10,3,7,17,p,100,5.7,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eagle (Aquila chrysaetos),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Golden-winged Warbler (Vermivora chrysoptera),0,0,0,0,0,p,p,p,p,0,0,2,0,0,0,p,0,0,0,0,0,,30,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Grasshopper Sparrow (Ammodramus savannarum),1,0,0,2,8,2,p,2,1,0,1,0,0,0,0,0,0,4,1,1,0,,55,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Gray Catbird (Dumetella caroliniensis) ,6,5,8,1,5,5,1,6,5,10,4,9,2,1,3,5,2,6,2,5,1,p,105,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Gray-cheeked Thrush (Catharus minimus),0,0,0,0,p,0,0,0,0,0,0,1,0,0,0,p,0,0,0,0,0,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Great Blue Heron (Ardea herodius),p,p,0,p,p,p,p,p,0,1,p,0,1,1,0,0,0,1,1,1,p,,75,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Great Crested Flycatcher (Myiarchus crinitus) ,9,7,3,4,3,3,1,1,p,4,1,p,3,1,1,1,0,4,9,2,5,p,100,3.1,,,,,,,,,,,,,,,,,,,,,,,,
Great Egret (Ardea alba),0,0,0,0,0,0,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Great Horned Owl (Bubo virginianus),0,p,0,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
Green Heron (Butorides virescens),p,p,0,0,0,0,0,0,p,0,0,p,0,0,0,0,0,0,0,0,0,,20,0,,,,,,,,,,,,,,,,,,,,,,,,
Hairy Woodpecker (Picoides villosus),1,0,0,p,p,0,1,p,p,1,1,1,1,0,2,p,p,p,0,2,3,p,80,0.7,,,,,,,,,,,,,,,,,,,,,,,,
Henslow's Sparrow (Ammodramus henslowii),0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,1,0,0,0,,25,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Hermit Thrush (Catharus guttatus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,0,0,,,,,,,,,p,,,,,,,,,,,,,,,
House Finch (Carpodacus mexicanus),p,0,p,0,0,0,p,0,p,0,0,p,0,0,0,0,0,0,0,0,1,p,30,0.1,,,,,,,,,,,,,,,,,,,,,,,,
House Sparrow (Passer domesticus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,0,0,0,p,0,p,10,0,,,,,,,,,,,,,,,,,,,,,,,,
House Wren (Troglodytes aedon) ,14,6,11,4,6,10,17,22,10,6,10,14,8,5,15,9,13,8,15,11,5,,105,10.9,,,,,,,,,,,,,,,,,,,,,,,,
Indigo Bunting (Passerina cyanea) ,18,8,13,6,1,3,5,1,p,7,0,4,2,1,4,9,0,3,3,1,3,p,95,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Killdeer (Charadrius vociferus),0,0,2,0,0,0,0,p,p,p,0,0,0,0,1,0,0,p,1,0,0,,35,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Least Flycatcher (Empidonax minimus),p,p,3,p,2,5,p,p,0,0,0,p,0,0,p,1,0,2,0,2,0,,65,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia Warbler (Dendroica magnolia),0,0,1,p,0,p,p,p,p,0,0,1,0,0,0,1,0,0,0,0,0,,40,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Mallard (Anas platyrhynchos),3,p,0,1,2,p,3,p,5,2,p,2,2,2,p,p,0,0,p,4,p,,90,1.3,,,,,,,,,,,,,,,,,,,,,,,,
Marsh Wren (Cistothorus palustris),p,p,p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove (Zenaida macroura) ,0,2,0,p,1,0,0,0,p,3,0,1,2,p,2,2,1,1,p,1,1,,75,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Warbler (Oporornis philadelphia),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Nashville Warbler (Vermivora ruficapilla) ,0,p,2,p,0,4,5,6,1,1,1,8,0,0,p,1,0,0,1,0,5,p,70,1.8,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cardinal (Cardinalis cardinalis) ,10,6,12,12,1,4,3,11,7,11,13,15,13,9,5,9,13,13,7,9,14,p,105,9.8,,,,,,,,,,,,,,,,,,,,,,,,
Northern Flicker (Colaptes auratus),p,p,3,2,1,0,p,p,p,3,p,2,1,0,0,p,0,p,3,3,p,,85,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier (Circus cyaneus),0,0,0,p,0,p,0,0,0,0,0,0,p,0,1,0,0,0,0,0,0,,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Northern Parula (Parula americana),0,0,p,0,0,0,1,0,p,0,1,1,0,0,0,0,0,0,p,0,p,,35,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Northern Rough-winged Swallow (Stelgidopteryx serripennis),1,p,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,1,0,,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Northern Waterthrush (Seirus noveboracensis),0,p,0,p,0,1,1,0,0,p,0,2,0,0,0,0,0,0,p,0,p,,40,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Olive-sided Flycatcher (Contopus cooperi),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Orange-crowned Warbler (Vermivora celata),0,0,0,0,0,0,0,p,0,0,0,p,0,0,0,p,0,0,0,0,0,,15,0,,,,,,,,,,,,,,,,,,,,,,,,
Orchard oriole (Icterus spurius),0,0,0,0,0,p,0,0,p,p,p,0,0,0,0,0,0,1,0,0,0,,25,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Osprey (Pandion haliaetus),0,0,0,0,0,0,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Ovenbird (Seirus aurocapillus) ,0,0,0,p,p,0,p,p,p,0,0,1,0,p,p,p,1,3,1,1,1,p,70,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Palm Warbler (Dendroica palmarum),0,0,p,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,,30,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Peregrine Falcon (Falco peregrinus),0,0,0,0,0,0,0,1,0,0,0,0,0,p,0,0,0,0,0,0,0,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Vireo (Vireo philadelphicus),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p,0,0,0,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Pileated Woodpecker (Dryocopus pileatus) ,p,0,0,0,p,0,0,1,0,1,0,0,p,1,0,0,0,p,p,1,p,p,50,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Red-bellied Woodpecker (Melanerpes carolinus),3,p,1,2,6,2,p,p,9,6,3,5,4,3,6,3,2,3,6,3,9,p,105,3.8,,,,,,,,,,,,,,,,,,,,,,,,
Red-eyed Vireo (Vireo olivaceus) ,17,15,0,12,15,0,p,0,p,11,0,0,3,0,2,1,0,3,1,3,2,p,70,4.2,,,,,,,,,,,,,,,,,,,,,,,,
Red-headed Woodpecker (Melanerpes erythrocephalus) ,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,p,0,0,,20,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Red-Tailed Hawk (Buteo jamaicensis),0,0,0,0,0,0,0,0,0,0,p,p,1,p,0,0,0,p,p,0,0,,30,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Red-winged Blackbird (Agelaius tricolor) ,14,5,14,8,6,3,9,13,7,9,18,8,9,12,7,4,20,10,p,16,9,p,105,10.1,,,,,,,,,,,,,,,,,,,,,,,,
Ring-billed Gull (Larus delawarensis),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0.1,,,,,,,,,,,,,,,,,,,,,,,,
